file,participant,condition,phase,time,topic,data
P12WIOR.csv,p12,WOIR,task,1.8,call.voice.alert,{}
P12WIOR.csv,p12,WOIR,task,1.8,call.incoming,{}
P12WIOR.csv,p12,WOIR,task,2.301,call.voice.alert,{}
P12WIOR.csv,p12,WOIR,task,2.301,call.incoming,{}
P12WIOR.csv,p12,WOIR,task,13.484,call.ringtone.started,{}
P12WIOR.csv,p12,WOIR,task,15.524,call.ringtone.stopped,{}
P12WIOR.csv,p12,WOIR,task,15.524,call.answered,{}
P12WIOR.csv,p12,WOIR,task,17.034,caller.msg,"{""seq"":1,""text"":""I am on the Autobahn near Manchinger Straße (Ingolstadt).""}"
P12WIOR.csv,p12,WOIR,task,22.035,caller.msg,"{""seq"":2,""text"":""There’s a multi car collision ahead.""}"
P12WIOR.csv,p12,WOIR,task,27.037,caller.msg,"{""seq"":3,""text"":""One person appears injured. Please send help quickly.""}"
P12WIOR.csv,p12,WOIR,task,33.132,drt.started,{}
P12WIOR.csv,p12,WOIR,task,33.308,mission.started,{}
P12WIOR.csv,p12,WOIR,task,44.29,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,46.791,drt.miss,{}
P12WIOR.csv,p12,WOIR,task,60.373,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,60.748,drt.response,"{""rt_ms"":376}"
P12WIOR.csv,p12,WOIR,task,69.373,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,69.908,drt.response,"{""rt_ms"":534}"
P12WIOR.csv,p12,WOIR,task,82.904,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,83.492,drt.response,"{""rt_ms"":588}"
P12WIOR.csv,p12,WOIR,task,94.931,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,95.342,drt.response,"{""rt_ms"":411}"
P12WIOR.csv,p12,WOIR,task,105.935,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,106.356,drt.response,"{""rt_ms"":421}"
P12WIOR.csv,p12,WOIR,task,114.378,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,114.886,drt.response,"{""rt_ms"":508}"
P12WIOR.csv,p12,WOIR,task,124.106,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,124.58,drt.response,"{""rt_ms"":474}"
P12WIOR.csv,p12,WOIR,task,134.585,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,135.06,drt.response,"{""rt_ms"":475}"
P12WIOR.csv,p12,WOIR,task,149.043,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,149.58,drt.response,"{""rt_ms"":536}"
P12WIOR.csv,p12,WOIR,task,157.363,call.ringtone.stopped,{}
P12WIOR.csv,p12,WOIR,task,157.363,secondary.start,"{""task_id"":""BASE-MEM-1"",""step"":1}"
P12WIOR.csv,p12,WOIR,task,160.29,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,162.085,secondary.response,"{""task_id"":""BASE-MEM-1"",""answer"":""5"",""correct_answer"":""5"",""correct"":true,""rt_ms"":4722,""step"":1}"
P12WIOR.csv,p12,WOIR,task,162.385,secondary.start,"{""task_id"":""BASE-MATH-1"",""step"":2}"
P12WIOR.csv,p12,WOIR,task,162.791,drt.miss,{}
P12WIOR.csv,p12,WOIR,task,175.612,drt.flash,{}
P12WIOR.csv,p12,WOIR,task,178.113,drt.miss,{}
